0	(1,2,1),(1,0,0)
1	(1,2,1),(1,0,0)
2	(1,0,1),(0,2,1)
3	(1,0,1),(0,2,1)
4	(1,0,1),(0,2,1)
5	(0,2,1),(1,0,0)
6	(0,2,1),(1,0,0)
7	(0,2,1),(1,0,0)
8	(1,0,0),(1,2,1)
9	(1,0,0),(1,2,1)
10	(1,0,0),(1,2,1)
11	(1,0,0),(1,2,1)
12	(1,0,0),(1,2,1)
13	(1,0,0),(1,2,1)
14	(1,0,0),(1,2,1)
15	(1,0,0),(1,2,1)
16	(0,0,0),(1,3,1)
17	(0,0,0),(1,3,1)
18	(0,0,0),(1,3,1)
19	(1,3,1),(1,1,0)
20	(1,1,0),(1,3,1)
21	(1,1,0),(1,1,0)
22	(1,1,0),(1,3,1)
23	(1,1,0),(1,1,0)
24	(1,1,0),(1,3,1)
25	(1,1,0),(1,1,0)
26	(1,1,0),(1,1,0)
27	(1,1,0),(1,1,0)
28	(1,3,1),(0,0,0)
29	(1,3,1),(0,0,0)
30	(1,2,1),(1,0,0)
31	(1,2,1),(1,0,0)
32	(1,2,1),(1,0,0)
33	(1,2,1),(1,0,0)
34	(1,2,1),(1,0,0)
35	(1,2,1),(1,0,0)
