0	(1,5,2),(1,5,2)
1	(1,5,2),(1,5,2)
2	(1,5,2),(1,5,2)
3	(1,5,2),(1,5,2)
4	(1,5,2),(1,5,2)
5	(1,5,2),(1,5,2)
6	(1,5,2),(1,5,2)
7	(1,5,2),(1,5,2)
8	(1,5,2),(1,5,2)
9	(1,5,2),(1,5,2)
10	(1,5,2),(1,5,2)
11	(1,5,2),(1,5,2)
12	(1,4,1),(1,4,1)
13	(1,4,1),(1,4,1)
14	(1,4,1),(1,4,1)
15	(1,4,1),(1,4,1)
16	(1,5,1),(1,5,1)
17	(1,5,1),(1,5,1)
18	(1,5,1),(1,5,1)
19	(1,5,1),(1,5,1)
20	(1,5,1),(1,5,1)
21	(1,5,1),(1,5,1)
22	(1,5,1),(1,5,1)
23	(1,5,1),(1,5,1)
24	(1,5,1),(1,5,1)
25	(1,5,1),(1,5,1)
26	(1,5,1),(1,5,1)
27	(1,5,1),(1,5,1)
28	(1,5,1),(1,4,1)
29	(1,5,1),(1,4,1)
30	(1,5,1),(1,4,1)
31	(1,5,1),(1,4,1)
32	(1,5,1),(1,4,1)
33	(1,5,1),(1,4,1)
34	(1,5,2),(1,5,2)
35	(1,5,2),(1,5,2)
