0	(5,5,2),(1,0,0)
1	(5,5,2),(1,0,0)
2	(5,5,2),(1,0,0)
3	(5,5,2),(1,0,0)
4	(5,5,3),(1,0,0)
5	(1,0,0),(5,5,3)
6	(1,0,0),(5,5,2)
7	(1,0,0),(5,5,2)
8	(1,0,0),(5,5,2)
9	(1,0,0),(5,5,2)
10	(1,0,0),(5,5,1)
11	(1,0,0),(5,5,1)
12	(1,0,0),(5,5,1)
13	(1,0,0),(5,5,1)
14	(1,0,0),(5,5,1)
15	(1,0,0),(5,5,1)
16	(1,0,0),(5,5,1)
17	(1,0,0),(5,5,1)
18	(4,5,0),(1,4,0)
19	(5,5,0),(4,5,0)
20	(4,5,0),(4,5,1)
21	(4,4,0),(4,5,0)
22	(4,5,0),(4,5,1)
23	(1,5,0),(5,5,0)
24	(1,5,0),(5,5,0)
25	(4,4,0),(5,5,0)
26	(5,5,1),(5,5,0)
27	(1,4,0),(4,5,0)
28	(5,5,1),(1,0,0)
29	(5,5,1),(1,0,0)
30	(5,5,1),(1,0,0)
31	(5,5,1),(1,0,0)
32	(5,5,1),(1,0,0)
33	(5,5,1),(1,0,0)
34	(5,5,1),(1,0,0)
35	(5,5,1),(1,0,0)
